Starting Generator Model Training at Sat Apr 25 07:01:44 PM CDT 2026
Model: gan
Epochs: 20
Batch Size: 64
Learning Rate: 0.002
Data Fraction: 0.25
Process ID: 3030256
======================================================
Python Process PID: 3030270
2026-04-25 19:01:49,398 - INFO - Selected GPU: 1
2026-04-25 19:01:50,699 - INFO - Dataset size: 50649 images
2026-04-25 19:03:12,958 - INFO - Batch shape: torch.Size([64, 3, 64, 64])
2026-04-25 19:03:12,959 - INFO - Batch range: [0.00, 1.00]
2026-04-25 19:03:13,407 - INFO - Models and optimizers initialized
2026-04-25 19:03:13,407 - INFO - Starting GAN training...
Epoch [1/20] Batch [0/792] D_loss: 1.5969 G_loss: 0.4478
Epoch [1/20] Batch [10/792] D_loss: 1.7388 G_loss: 0.7035
Epoch [1/20] Batch [20/792] D_loss: 1.6805 G_loss: 0.8199
Epoch [1/20] Batch [30/792] D_loss: 1.6815 G_loss: 0.7837
Epoch [1/20] Batch [40/792] D_loss: 1.6811 G_loss: 0.7418
Epoch [1/20] Batch [50/792] D_loss: 1.6860 G_loss: 0.7329
Epoch [1/20] Batch [60/792] D_loss: 1.7005 G_loss: 0.7360
Epoch [1/20] Batch [70/792] D_loss: 1.6876 G_loss: 0.7555
Epoch [1/20] Batch [80/792] D_loss: 1.6877 G_loss: 0.7041
Epoch [1/20] Batch [90/792] D_loss: 1.6957 G_loss: 0.8026
Epoch [1/20] Batch [100/792] D_loss: 1.6882 G_loss: 0.7108
Epoch [1/20] Batch [110/792] D_loss: 1.6884 G_loss: 0.7421
Epoch [1/20] Batch [120/792] D_loss: 1.6930 G_loss: 0.7109
Epoch [1/20] Batch [130/792] D_loss: 1.6921 G_loss: 0.7279
Epoch [1/20] Batch [140/792] D_loss: 1.6966 G_loss: 0.7413
Epoch [1/20] Batch [150/792] D_loss: 1.6921 G_loss: 0.7446
Epoch [1/20] Batch [160/792] D_loss: 1.6927 G_loss: 0.7245
Epoch [1/20] Batch [170/792] D_loss: 1.6919 G_loss: 0.7056
Epoch [1/20] Batch [180/792] D_loss: 1.6934 G_loss: 0.7123
